Team,MapName,Result,Margin,R,ACS,K,D,A,ADR,FK,FD,VS
EG,Lotus,Win,9,1.285,231.6,14.5,9.7,7.4,147.9,1.7,1.7,DRX
LOUD,Bind,Loss,-2,0.8939999999999999,206.2,16.8,18.2,5.6,139.6,1.4,3.4,EDG
LOUD,Ascent,Win,8,1.3980000000000001,235.8,15.8,9.4,9.0,153.2,3.2,0.4,EDG
LOUD,Haven,Win,2,1.1019999999999999,194.0,16.2,15.2,7.0,126.8,3.2,1.6,EDG
EDG,Haven,Loss,-2,0.9339999999999999,188.4,15.2,16.2,8.2,126.8,1.6,3.2,LOUD
DRX,Bind,Win,12,1.3780000000000001,218.6,11.6,6.4,4.0,142.2,1.4,1.4,FNC
FNC,Bind,Loss,-12,0.62,139.8,6.4,11.6,2.6,98.0,1.4,1.4,DRX
DRX,Haven,Loss,-4,0.8019999999999999,163.6,13.0,15.4,3.4,104.6,1.4,3.0,FNC
DRX,Split,Loss,-7,0.732,162.2,10.2,16.0,4.4,110.2,1.4,2.4,FNC
FNC,Split,Win,7,1.28,226.0,16.0,10.2,8.0,133.2,2.4,1.4,DRX
PRX,Ascent,Loss,-3,1.01,206.8,16.2,16.8,7.2,138.2,2.8,1.8,EG
EG,Ascent,Win,3,0.9880000000000001,206.2,16.8,16.4,6.4,140.0,1.8,2.8,PRX
PRX,Bind,Win,4,1.09,203.0,16.0,14.2,6.2,129.8,1.8,2.6,EG
EG,Bind,Loss,-4,0.89,179.6,14.2,16.0,5.4,113.0,2.6,1.8,PRX
EG,Pearl,Loss,-2,1.014,210.0,19.8,21.0,10.4,147.2,3.6,2.0,PRX
FNC,Split,Loss,-9,0.776,180.2,10.4,13.6,4.4,125.6,1.8,1.6,LOUD
LOUD,Split,Win,9,1.248,217.8,13.6,10.4,8.4,132.0,1.6,1.8,FNC
FNC,Haven,Loss,-6,0.796,179.6,11.8,16.6,5.4,122.8,1.6,2.4,LOUD
LOUD,Haven,Win,6,1.22,221.2,16.6,11.8,7.4,149.6,2.4,1.6,FNC
EG,Ascent,Win,2,0.9940000000000001,202.8,18.4,18.6,8.8,135.8,2.2,3.0,LOUD
LOUD,Ascent,Loss,-2,1.05,208.8,18.6,18.4,10.6,133.2,3.0,2.2,EG
LOUD,Lotus,Loss,-9,0.652,164.8,9.4,14.6,3.4,116.2,1.4,2.0,EG
EG,Pearl,Loss,-5,0.8019999999999999,187.8,13.2,16.8,4.8,128.6,1.6,2.6,LOUD
LOUD,Pearl,Win,5,1.192,225.0,16.8,13.2,6.0,148.6,2.6,1.6,EG
EG,Split,Loss,-7,0.818,198.8,13.8,16.4,5.2,128.0,1.4,2.6,LOUD
LOUD,Split,Win,7,1.182,230.8,16.4,13.8,7.2,149.2,2.6,1.4,EG
EG,Bind,Win,5,0.968,206.2,16.2,15.0,6.2,131.2,2.8,1.4,LOUD
LOUD,Bind,Loss,-5,1.052,214.0,15.0,16.2,9.6,132.6,1.4,2.8,EG
PRX,Split,Loss,-3,0.9560000000000001,199.2,15.4,17.6,6.4,134.4,2.0,2.6,EG
EG,Split,Win,3,1.06,213.4,17.6,15.4,7.4,145.4,2.6,2.0,PRX
PRX,Ascent,Win,2,1.076,205.4,17.4,17.0,6.8,137.8,3.0,1.8,EG
EG,Ascent,Loss,-2,0.9640000000000001,203.2,17.0,17.4,8.6,135.6,1.8,3.0,PRX
PRX,Bind,Loss,-8,0.788,167.2,9.8,15.0,7.6,107.8,1.8,1.8,EG
EG,Bind,Win,8,1.252,222.6,15.0,9.8,4.8,147.0,1.8,1.8,PRX
PRX,Lotus,Loss,-3,0.916,196.0,15.4,17.4,5.4,133.4,2.2,2.4,EG
EG,Lotus,Win,3,1.1,215.6,17.4,15.4,7.8,141.6,2.4,2.2,PRX
